Approval number	Name	Place	Region	Associated Activities	Remark	adr2	lat	lng
RS-1022	Mega R.L.A 	Aradac	Srednje-banatski okrug	CAT3		Mega R.L.A  , Aradac , Srednje-banatski okrug , Serbia	45.3771454	20.305076
RS-1062	Per-kat 	Botoš	Srednje-banatski okrug	CAT3		Per-kat  , Botoš , Srednje-banatski okrug , Serbia	45.3073019	20.6401155
RS-1063	Zif Commerce 	Senta	Severno-banatski okrug	CAT3		Zif Commerce  , Senta , Severno-banatski okrug , Serbia	45.9260128	20.0780937
RS-1067	Swiss Lider O.D.	Jablanica	Rasinski okrug	CAT3		Swiss Lider O.D. , Jablanica , Rasinski okrug , Serbia	43.422901	21.2798043
RS-65001	Daunen Komerc 	Velika Plana	Podunavski okrug	CAT3		Daunen Komerc  , Velika Plana , Podunavski okrug , Serbia	44.3358764	21.0770814
RS-65003	Daunen Komerc 	Torak	Srednje-banatski okrug	CAT3		Daunen Komerc  , Torak , Srednje-banatski okrug , Serbia	45.4912891	20.6465628
RS-681	Dan Ran 	Novo Miloševo	Srednje-banatski okrug	CAT3		Dan Ran  , Novo Miloševo , Srednje-banatski okrug , Serbia	45.72146619999999	20.2990855
RS-704	Stilex 	Zalug	Zlatiborski okrug	CAT3		Stilex  , Zalug , Zlatiborski okrug , Serbia	43.4085077	19.6285199
RS-40-004	Jelidej 	Mramor	Nišavski okrug	CAT3		Jelidej  , Mramor , Nišavski okrug , Serbia	43.3123978	21.7812312
RS-40-005	Agrokožar 	Bresnica	Pčinjski okrug	CAT3		Agrokožar  , Bresnica , Pčinjski okrug , Serbia		
RS-40-006	Dermax 	Bresnica	Pčinjski okrug	CAT3		Dermax  , Bresnica , Pčinjski okrug , Serbia		
RS-40-007	Petrović 	Svrljig	Nišavski okrug	CAT3		Petrović  , Svrljig , Nišavski okrug , Serbia	43.414844	22.131025
RS-40-009	Nokekožar 	Kupinince	Pčinjski okrug	CAT3		Nokekožar  , Kupinince , Pčinjski okrug , Serbia	42.5042652	21.8901512
RS-40-010	Stilex 	Zalug	Zlatiborski okrug	CAT3		Stilex  , Zalug , Zlatiborski okrug , Serbia	43.4085077	19.6285199
